COD_INT,CATEGORIA,NOME_PRODOTTO,SOTTOCATEGORIA,DESCRIZIONE,LISTINO_PREZZI,URL_IMMAGINE,URL_DOC
SPW-PROF-ABE-68,Profili per finestre,Profilo finestra Abete 68x80,Profili lamellari,"Profilo lamellare in abete per serramenti, pronto per lavorazioni su misura e finitura.",SI,,
SPW-PROF-LAR-78,Profili per finestre,Profilo finestra Larice 78x92,Profili lamellari,"Profilo in larice per serramenti ad alte prestazioni, indicato per mercato premium e tempi di fornitura rapidi.",SI,,
SPW-LIST-ROV-30,Liste profilate,Lista profilata Rovere 30x40,Liste e cornici,"Lista profilata in rovere per finitura, cornici ed elementi di completamento.",SI,,
SPW-LIST-ABE-24,Liste profilate,Listello Abete 24x48,Listelli piallati,"Listello piallato in abete per strutture leggere, telai e sottostrutture.",SI,,
SPW-LAM-DOU-120,Lamellare,Trave lamellare Douglas 120x240,Travi strutturali,"Lamellare in Douglas per impieghi strutturali e carpenteria in legno.",SI,,
SPW-LAM-ABE-80,Lamellare,Trave lamellare Abete 80x200,Travi strutturali,"Lamellare in abete per edilizia leggera, coperture e forniture B2B.",SI,,
SPW-MAS-ROV-27,Massello,Tavola massello Rovere 27mm,Tavole piallate,"Tavola in rovere piallata per interior, porte ed elementi su disegno.",SI,,
SPW-MAS-FAG-40,Massello,Massello Faggio 40mm,Tavole grezze,"Semilavorato in faggio per falegnameria, gradini e lavorazioni custom.",SI,,
SPW-PAN-MDF-19,Pannelli MDF,Pannello MDF grezzo 19mm,Pannelli standard,"Pannello MDF standard per taglio CNC, pantografatura e verniciatura.",SI,,
SPW-PAN-MDF-25,Pannelli MDF,Pannello MDF idrofugo 25mm,Pannelli tecnici,"MDF idrofugo per ambienti con maggiore esigenza di stabilita e resistenza.",SI,,
SPW-TRU-BIA-18,Truciolari,Pannello truciolare bianco 18mm,Pannelli nobilitati,"Pannello truciolare nobilitato per arredo tecnico, retail e contract.",SI,,
SPW-TRU-GRE-25,Truciolari,Pannello truciolare grezzo 25mm,Pannelli grezzi,"Truciolare grezzo per allestimenti, supporti e semilavorati.",SI,,
SPW-MUL-BET-18,Multistrato,Multistrato Betulla 18mm,Pannelli tecnici,"Multistrato in betulla adatto a falegnameria tecnica e arredo su misura.",SI,,
SPW-MUL-PIO-15,Multistrato,Multistrato Pioppo 15mm,Pannelli leggeri,"Multistrato in pioppo per arredo leggero, fondi e chiusure.",SI,,
SPW-TAV-ABE-27,Tavole piallate,Tavola piallata Abete 27mm,Tavole da carpenteria,"Tavola piallata in abete per strutture leggere, rivestimenti e cantieri.",SI,,
SPW-TAV-LAR-34,Tavole piallate,Tavola piallata Larice 34mm,Tavole da esterno,"Larice piallato per facciate, rivestimenti e serramenti esterni.",SI,,
SPW-LIS-CAS-20,Listelli,Listello Castagno 20x40,Listelli strutturali,"Listello in castagno per finiture, telai e lavorazioni da esterno.",SI,,
SPW-LIS-NOC-18,Listelli,Listello Noce 18x35,Listelli pregiati,"Listello in noce per interior di pregio, espositori e falegnameria fine.",SI,,
SPW-POR-ROV-01,Elementi per porte,Kit telaio porta Rovere,Telai porta,"Set di elementi per porte interne con componenti in rovere pronti al montaggio.",SI,,
SPW-POR-ABE-02,Elementi per porte,Traversa porta Abete,Semilavorati porta,"Semilavorato per porte in abete, ideale per serie e completamenti rapidi.",SI,,
SPW-SEM-CIR-32,Semilavorati,Pannello semilavorato Cirmolo 32mm,Semilavorati speciali,"Semilavorato in cirmolo per progetti custom e arredo alpino.",SI,,
SPW-SEM-ACE-26,Semilavorati,Elemento Acero 26mm,Semilavorati speciali,"Elemento in acero per lavorazioni su disegno e produzioni su richiesta.",SI,,
